Title,Original,Generated
How I Got Into College,"A horror story so intense, so barbaric, so frightening it will have you running for your local army recruiter.",It's not about the grades.
Tanya's Island,Where her wildest fantasies turned to terror.,She's the only one who can stop him.
Resident Evil: Retribution,The Ultimate Battle Begins,The End Is Nigh
From Noon Till Three,The most wanted men in the west!,The story of a man who risked everything to save a woman he loved.
Fan,World's biggest superstar got the universe's biggest fan!,A fan's world totally revolves around him.
Half Light,When the darkness falls the dead will rise.,Sometimes the only way out is to stay alive.
Keeping Up with the Joneses,They lived a normal life... Until the Joneses moved in.,It's not easy to keep up with them.
Nazty Nuisance,GET READY FOR ROARS! THEY'RE GOING TO DROP HITLER ON BERLIN...When Hal Roach Presents,The greatest adventure of all time!
Wolf Creek 2,The Outback Can Be Crazy This Time Of Year,There's only one way out.
Godzilla vs. Destoroyah,Get Ready for a Three-Way Monster Melee!,It's Godzilla vs.
Gran Torino,Ever come across somebody you shouldn't have messed with?,The story of a man who risked everything to protect his family.
The Jericho Mile,Behind the wall of this prison is a man traning to challenge the Olympic record..,Life is a game.
The Cowboy and the Lady,MERLE ropes Gary! GARY brands Merle!,He's a cowboy.
I'm Reed Fish,Reed Fish's life turns into chaos when a high school crush returns on the eve of his marriage to the small town's sweetheart.,The funniest comedy you'll ever see.
North Country,All She Wanted Was To Make A Living. Instead She Made History.,The story of one woman's courage to stand up for what she believed in.
2016: Obama's America,"Love Him, Hate Him, You Don't Know Him",The story of a man who made America great again.
Communion,The true story of one man's terrifying journey into the unknown.,They're coming for you.
The Pianist,Music was his passion. Survival was his masterpiece.,The greatest pianist of all time.
Repo Men,"For a price, any organ in your body can be replaced. But it can also be repossessed.",The future is about to change.
A Beautiful Planet,A Beautiful Planet,A beautiful planet.
Attack of the 50 Foot Cheerleader,Look at the size of those pom poms!,She's got it all.
The Edukators,Every heart is a revolutionary cell.,The truth is stranger than fiction.
Xtro 2: The Second Encounter,Part Alien. Part Predator. All Terror.,The only way out is through the portal.
Small Gods,Elena's Elegy,She's back.
Rise: Blood Hunter,They didn't leave her alive. They left her UNDEAD.,You can't escape your past.
Jurassic City,Throwing L.A. Back to the Stone Ages,The most terrifying movie of the year!
Worth Winning,An engaging comedy about a bachelor and three near Mrs.,Three women.
The Witch,Evil takes many forms.,There is no such thing as a perfect family.
When the Bough Breaks,She's carrying more than just a secret.,It's not what you think it is.
Madagascar 3: Europe's Most Wanted,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",They're Back!
The Legend of Bloody Mary,Her vision... will be your last,It's not just a game.
Tom at the Farm,What you don't know will hurt you,It's not just a game.
Rites of Spring,Fear has a season,It's not just a movie.
The Exorcism of Emily Rose,What happened to Emily?,It's not what you think it is.
The Pursuit of D.B. Cooper,Who says you can't take it with you?,There's no such thing as anonymity.
Bachelor in Paradise,THE TRUE CONFESSIONS and INTIMATE SECRETS of the world's greatest authority on LOVE,A Bachelorette in Paradise Cove
Drag Me to Hell,"Christine Brown has a good job, a great boyfriend, and a bright future. But in three days, she's going to hell.",You can't escape your past.
Solitary,Some Mysteries Must Be Solved Alone,Fear can be a powerful force.
This Is My Father,A Journey Of The Heart.,The story of a boy and a girl who met and fell in love.
London to Brighton,Innocence has nowhere to hide,What do you do when you wake up in the middle of the night?
The Big Red One,"Only chance could have thrown them together. Now, nothing can pull them apart.",The true story of the men and women who fought to save the world.
The Eagle Has Landed,The daring World War II plot that changed the course of history.,The story of a man who risked everything to save the world.
For the Love of Spock,Live long...,The story of the man who changed the face of the universe.
Green Lantern,"In our darkest hour, there will be light.",The greatest hero of all time is back.
The Sound and the Shadow,Be careful what you listen for.,It's not what you think it is.
Rembetiko,rempetiko rembetiko mousiki,The Story of a Rembete
Black Snow,Would you be able to keep a secret?,The story of a man who lived his life to the fullest.
Man of the World,Beyond the 'shadow of the Law',A love story that will change your life forever.
I'll Get By,TOPS IN ROMANCE...GREAT IN ITS HILARIOUS COMEDY!!,The story of a man who became a legend.
Remember the Titans,History is written by the winners.,The story of a man who changed the face of college football forever.
The Girl Who Kicked the Hornet's Nest,There's A Storm Coming,The story of a woman who risked everything to save her husband.
Robots,You can shine no matter what you're made of.,The robot revolution is about to begin.
Maniac Cop 2,You have the right to remain silent forever.....Again!,It's not just a cop.
Steamboy,He will save the future.,A Time Machine.
Allotment Wives,They're Pretty To Look At . . . But POISON To Love!,The story of a woman who married a man for his pay.
Narcopolis,The future is a fix.,The price is death.
The Acid Eaters,An adult happening in psychedelic color!,It's not a secret.
Fled,See how they run.,They're back.
Octopussy,James Bond’s all time high.,Bond is back in action.
Little Ninjas,A summer vacation...A map to buried treasure...The adventure of a lifetime,The adventure begins here.
The Internecine Project,Who will be alive when the hands stop?,He's got a secret.
The Naked Maja,Now she is yours...the matchless...the shameless beauty who lives forever as The Naked Maja!,The true story of Goya's life
The Wild Bunch,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH.",The last man on earth is about to retire.
Juan of the Dead,"50 years after the Cuban Revolution, a new Revolution is about to begin.",You can't kill the dead.
You've Got Mail,Someone you pass on the street may already be the love of your life.,It's not what you think it is.
Catastasis,A catastrophic call that changed his life forever.,It's not what you think.
Hansel and Gretel,They lost their way...but found a magical adventure!,"A tale of love, betrayal, and revenge."
Tale of Tales,Desire. Envy. Obsession.,"A tale of love, adventure and adventure."
Captains Courageous,"AS GREAT AS ""MUTINY ON THE BOUNTY""",He's a man of many talents.
Cut and Run,The one story you won't be seeing on the 6 o'clock news!,A story of survival.
Dus,"Every hour, every minute, every second... counts.",Terror is coming to India
Jersey Shore Massacre,You're not the only one who wants them dead.,It's not what you think.
Air Bud,He Sits. He Stays. He Shoots. He Scores.,A new kid on the block.
Ticket to Vegas,Who'll hit the jackpot?,The funniest movie of the year!
Pink Floyd: Live at Pompeii,More Than a Movie! An Explosive Cinema Concert!,The greatest rock band of the 20th Century
The Prodigal Son,The fighting men in Chinese opera house,Kung Fu is a martial art
Bad Timing,His terrifying obsession took them to the brink of death and beyond.,Love is a dangerous game.
The 33,Hope Runs Deep,A true story
Mister Johnson,Africa 1923: A clash of cultures between British imperalists and a black man too smart for his own good.,He was born to rule.
711 Ocean Drive,"Expose of the $8,000,000,000 gambling syndicate and its hoodlum empire!",The story of Edmund O'Brien and the Syndicate
The Body,"It would change history and destroy the belief of millions,,,",An Ancient Skeleton Has Been Found In Jerusalem In A Rich Man's Tomb.
Almost an Angel,Who does he think he is?,The story of Terry Dean.
The Heiress,A truly great motion picture (one-sheet),The story of a woman who became the most famous woman in the history of the world.
Most Likely to Die,One killer reunion.,They're Back.
Our Man In Marrakesh,Strange girls in his room... Loaded guns in his back... Looks like it'll be a bang-up vacation!,It's not the bus.
Ready? OK!,Don't break the rules. Change them.,"A comedy about love, family, and being a kid."
It All Came True,HURRY! HERE'S A HIT!,"A comedy about love, drugs, and murder."
Casual Encounters,Your perfect match is less than a click away.,Sometimes it's better to be yourself than to be loved.
Island of Lost Women,A Secret Eden Turned into a Raging Hell!,It's not just a plane crash.
The Angriest Man in Brooklyn,Everyone has a bad day. Henry has one every day.,Sometimes the only way out is through death.
Bernie,A story so unbelievable it must be true.,A true story.
Behind the Planet of the Apes,Journey Back To The Planet Of The Apes!,The story of the first movie
Pacific Heights,Where terror lives.,It's a dream come true.
Entity,"We may forget the past, but it never forgets us.",The truth is stranger than fiction.
The Nickel Ride,The Nightmare Was Over... Or Had It Just Begun!,It's not about the money.
This Beautiful Fantastic,Life blooms in enchanting ways.,A love story that will change your life forever.
Pretty Smart,"After a taste of knowledge, the girls at Ogilvy Academy think they're... Pretty Smart.",It's not just a picture.
